Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2018Q2,S08000020,S92000003,d,Lymphoma,NA,31,NA,30,NA
2018Q2,S08000020,S92000003,d,Melanoma,NA,46,NA,46,NA
2018Q2,S08000020,S92000003,d,Ovarian,NA,13,NA,13,NA
2018Q2,S08000020,S92000003,d,Upper GI,NA,80,NA,80,NA
2018Q2,S08000020,S92000003,d,Urological,NA,171,NA,150,NA
2018Q2,S08000022,S92000003,d,Breast,NA,85,NA,79,NA
2018Q2,S08000022,S92000003,d,Cervical,NA,5,NA,5,NA
2018Q2,S08000022,S92000003,d,Colorectal,NA,49,NA,44,NA
2018Q2,S08000022,S92000003,d,Head & Neck,NA,12,NA,12,NA
2018Q2,S08000022,S92000003,d,Lung,NA,56,NA,56,NA
2018Q2,S08000022,S92000003,d,Lymphoma,NA,10,NA,10,NA
2018Q2,S08000022,S92000003,d,Melanoma,NA,19,NA,18,NA
2018Q2,S08000022,S92000003,d,Ovarian,NA,9,NA,9,NA
2018Q2,S08000022,S92000003,d,Upper GI,NA,33,NA,33,NA
2018Q2,S08000022,S92000003,d,Urological,NA,71,NA,58,NA
2018Q2,S08000024,S92000003,d,Breast,NA,221,NA,220,NA
2018Q2,S08000024,S92000003,d,Cervical,NA,7,NA,6,NA
2018Q2,S08000024,S92000003,d,Colorectal,NA,116,NA,111,NA
2018Q2,S08000024,S92000003,d,Head & Neck,NA,36,NA,36,NA
2018Q2,S08000024,S92000003,d,Lung,NA,102,NA,101,NA
2018Q2,S08000024,S92000003,d,Lymphoma,NA,32,NA,32,NA
2018Q2,S08000024,S92000003,d,Melanoma,NA,57,NA,57,NA
2018Q2,S08000024,S92000003,d,Ovarian,NA,10,NA,10,NA
2018Q2,S08000024,S92000003,d,Upper GI,NA,95,NA,92,NA
2018Q2,S08000024,S92000003,d,Urological,NA,168,NA,125,NA
2018Q2,S08000025,S92000003,d,Colorectal,NA,3,NA,3,NA
2018Q2,S08000025,S92000003,d,Lung,NA,2,NA,2,NA
2018Q2,S08000025,S92000003,d,Lymphoma,NA,2,NA,2,NA
2018Q2,S08000025,S92000003,d,Upper GI,NA,4,NA,4,NA
2018Q2,S08000026,S92000003,d,Breast,NA,2,NA,2,NA
2018Q2,S08000026,S92000003,d,Colorectal,NA,1,NA,1,NA
2018Q2,S08000026,S92000003,d,Head & Neck,NA,1,NA,1,NA
2018Q2,S08000026,S92000003,d,Lung,NA,5,NA,5,NA
2018Q2,S08000026,S92000003,d,Lymphoma,NA,1,NA,1,NA
2018Q2,S08000026,S92000003,d,Melanoma,NA,1,NA,1,NA
2018Q2,S08000026,S92000003,d,Ovarian,NA,2,NA,2,NA
2018Q2,S08000026,S92000003,d,Upper GI,NA,1,NA,1,NA
2018Q2,S08000026,S92000003,d,Urological,NA,10,NA,10,NA
2018Q2,S08000028,S92000003,d,Colorectal,NA,1,NA,1,NA
2018Q2,S08000028,S92000003,d,Lung,NA,8,NA,8,NA
2018Q2,S08000028,S92000003,d,Lymphoma,NA,1,NA,1,NA
2018Q2,S08000028,S92000003,d,Melanoma,NA,2,NA,2,NA
2018Q2,S08000028,S92000003,d,Ovarian,NA,2,NA,2,NA
2018Q2,S08000028,S92000003,d,Upper GI,NA,6,NA,6,NA
2018Q2,S08000028,S92000003,d,Urological,NA,2,NA,2,NA
2018Q2,S08000029,S92000003,d,Breast,NA,50,NA,50,NA
2018Q2,S08000029,S92000003,d,Cervical,NA,4,NA,4,NA
2018Q2,S08000029,S92000003,d,Colorectal,NA,46,NA,46,NA
2018Q2,S08000029,S92000003,d,Head & Neck,NA,28,NA,25,NA
2018Q2,S08000029,S92000003,d,Lung,NA,75,NA,67,NA
2018Q2,S08000029,S92000003,d,Lymphoma,NA,11,NA,11,NA
2018Q2,S08000029,S92000003,d,Melanoma,NA,20,NA,19,NA
2018Q2,S08000029,S92000003,d,Ovarian,NA,9,NA,7,NA
2018Q2,S08000029,S92000003,d,Upper GI,NA,51,NA,51,NA
2018Q2,S08000029,S92000003,d,Urological,NA,95,NA,84,NA
2018Q2,S08000030,S92000003,d,Breast,NA,99,NA,97,NA
2018Q2,S08000030,S92000003,d,Cervical,NA,10,NA,10,NA
2018Q2,S08000030,S92000003,d,Colorectal,NA,79,NA,79,NA
2018Q2,S08000030,S92000003,d,Head & Neck,NA,19,NA,17,NA
2018Q2,S08000030,S92000003,d,Lung,NA,89,NA,81,NA
2018Q2,S08000030,S92000003,d,Lymphoma,NA,21,NA,21,NA
2018Q2,S08000030,S92000003,d,Melanoma,NA,24,NA,21,NA
2018Q2,S08000030,S92000003,d,Ovarian,NA,6,NA,5,NA
2018Q2,S08000030,S92000003,d,Upper GI,NA,49,NA,49,NA
2018Q2,S08000030,S92000003,d,Urological,NA,124,NA,114,NA
2018Q2,S08000031,S92000003,d,Breast,NA,375,NA,336,NA
2018Q2,S08000031,S92000003,d,Cervical,NA,9,NA,9,NA
2018Q2,S08000031,S92000003,d,Colorectal,NA,165,NA,161,NA
2018Q2,S08000031,S92000003,d,Head & Neck,NA,84,NA,81,NA
2018Q2,S08000031,S92000003,d,Lung,NA,252,NA,248,NA
2018Q2,S08000031,S92000003,d,Lymphoma,NA,84,NA,84,NA
2018Q2,S08000031,S92000003,d,Melanoma,NA,90,NA,89,NA
2018Q2,S08000031,S92000003,d,Ovarian,NA,26,NA,26,NA
2018Q2,S08000031,S92000003,d,Upper GI,NA,159,NA,158,NA
2018Q2,S08000031,S92000003,d,Urological,NA,321,NA,286,NA
2018Q2,S08000032,S92000003,d,Breast,NA,101,NA,101,NA
2018Q2,S08000032,S92000003,d,Cervical,NA,2,NA,2,NA
2018Q2,S08000032,S92000003,d,Colorectal,NA,92,NA,88,NA
2018Q2,S08000032,S92000003,d,Head & Neck,NA,28,NA,28,NA
2018Q2,S08000032,S92000003,d,Lung,NA,125,NA,125,NA
2018Q2,S08000032,S92000003,d,Lymphoma,NA,29,NA,29,NA
2018Q2,S08000032,S92000003,d,Melanoma,NA,30,NA,30,NA
2018Q2,S08000032,S92000003,d,Ovarian,NA,9,NA,8,NA
2018Q2,S08000032,S92000003,d,Upper GI,NA,59,NA,59,NA
2018Q2,S08000032,S92000003,d,Urological,NA,126,NA,124,NA
2018Q3,S08000015,S92000003,d,Breast,NA,103,NA,101,NA
2018Q3,S08000015,S92000003,d,Cervical,NA,8,NA,8,NA
2018Q3,S08000015,S92000003,d,Colorectal,NA,61,NA,59,NA
2018Q3,S08000015,S92000003,d,Head & Neck,NA,15,NA,15,NA
2018Q3,S08000015,S92000003,d,Lung,NA,59,NA,59,NA
2018Q3,S08000015,S92000003,d,Lymphoma,NA,1,NA,1,NA
2018Q3,S08000015,S92000003,d,Melanoma,NA,20,NA,20,NA
2018Q3,S08000015,S92000003,d,Ovarian,NA,6,NA,6,NA
2018Q3,S08000015,S92000003,d,Upper GI,NA,29,NA,29,NA
2018Q3,S08000015,S92000003,d,Urological,NA,90,NA,90,NA
2018Q3,S08000016,S92000003,d,Breast,NA,19,NA,19,NA
2018Q3,S08000016,S92000003,d,Cervical,NA,2,NA,2,NA
2018Q3,S08000016,S92000003,d,Colorectal,NA,20,NA,20,NA
2018Q3,S08000016,S92000003,d,Head & Neck,NA,6,NA,6,NA
2018Q3,S08000016,S92000003,d,Lung,NA,28,NA,27,NA
2018Q3,S08000016,S92000003,d,Lymphoma,NA,5,NA,5,NA
2018Q3,S08000016,S92000003,d,Melanoma,NA,4,NA,4,NA
2018Q3,S08000016,S92000003,d,Ovarian,NA,4,NA,4,NA
2018Q3,S08000016,S92000003,d,Upper GI,NA,16,NA,15,NA
2018Q3,S08000016,S92000003,d,Urological,NA,29,NA,28,NA
2018Q3,S08000017,S92000003,d,Breast,NA,25,NA,24,NA
2018Q3,S08000017,S92000003,d,Cervical,NA,3,NA,3,NA
2018Q3,S08000017,S92000003,d,Colorectal,NA,29,NA,27,NA
2018Q3,S08000017,S92000003,d,Head & Neck,NA,8,NA,8,NA
2018Q3,S08000017,S92000003,d,Lung,NA,42,NA,42,NA
2018Q3,S08000017,S92000003,d,Lymphoma,NA,10,NA,10,NA
2018Q3,S08000017,S92000003,d,Melanoma,NA,7,NA,7,NA
2018Q3,S08000017,S92000003,d,Ovarian,NA,6,NA,6,NA
2018Q3,S08000017,S92000003,d,Upper GI,NA,31,NA,31,NA
2018Q3,S08000017,S92000003,d,Urological,NA,50,NA,36,NA
2018Q3,S08000019,S92000003,d,Breast,NA,49,NA,47,NA
2018Q3,S08000019,S92000003,d,Cervical,NA,5,NA,5,NA
2018Q3,S08000019,S92000003,d,Colorectal,NA,54,NA,49,NA
2018Q3,S08000019,S92000003,d,Head & Neck,NA,26,NA,24,NA
2018Q3,S08000019,S92000003,d,Lung,NA,55,NA,54,NA
2018Q3,S08000019,S92000003,d,Lymphoma,NA,14,NA,14,NA
2018Q3,S08000019,S92000003,d,Melanoma,NA,19,NA,17,NA
2018Q3,S08000019,S92000003,d,Ovarian,NA,6,NA,6,NA
2018Q3,S08000019,S92000003,d,Upper GI,NA,42,NA,42,NA
2018Q3,S08000019,S92000003,d,Urological,NA,136,NA,124,NA
2018Q3,S08000020,S92000003,d,Breast,NA,118,NA,108,NA
2018Q3,S08000020,S92000003,d,Cervical,NA,5,NA,5,NA
2018Q3,S08000020,S92000003,d,Colorectal,NA,88,NA,84,NA
2018Q3,S08000020,S92000003,d,Head & Neck,NA,26,NA,26,NA
2018Q3,S08000020,S92000003,d,Lung,NA,108,NA,106,NA
2018Q3,S08000020,S92000003,d,Lymphoma,NA,36,NA,35,NA
2018Q3,S08000020,S92000003,d,Melanoma,NA,22,NA,22,NA
2018Q3,S08000020,S92000003,d,Ovarian,NA,16,NA,16,NA
2018Q3,S08000020,S92000003,d,Upper GI,NA,67,NA,67,NA
2018Q3,S08000020,S92000003,d,Urological,NA,149,NA,109,NA
2018Q3,S08000022,S92000003,d,Breast,NA,77,NA,76,NA
2018Q3,S08000022,S92000003,d,Cervical,NA,1,NA,1,NA
2018Q3,S08000022,S92000003,d,Colorectal,NA,47,NA,47,NA
2018Q3,S08000022,S92000003,d,Head & Neck,NA,17,NA,16,NA
2018Q3,S08000022,S92000003,d,Lung,NA,49,NA,49,NA
2018Q3,S08000022,S92000003,d,Lymphoma,NA,16,NA,16,NA
2018Q3,S08000022,S92000003,d,Melanoma,NA,29,NA,28,NA
2018Q3,S08000022,S92000003,d,Ovarian,NA,11,NA,11,NA
2018Q3,S08000022,S92000003,d,Upper GI,NA,36,NA,35,NA
2018Q3,S08000022,S92000003,d,Urological,NA,61,NA,47,NA
2018Q3,S08000024,S92000003,d,Breast,NA,257,NA,254,NA
2018Q3,S08000024,S92000003,d,Cervical,NA,16,NA,16,NA
2018Q3,S08000024,S92000003,d,Colorectal,NA,109,NA,102,NA
2018Q3,S08000024,S92000003,d,Head & Neck,NA,48,NA,48,NA
2018Q3,S08000024,S92000003,d,Lung,NA,104,NA,104,NA
2018Q3,S08000024,S92000003,d,Lymphoma,NA,42,NA,42,NA
2018Q3,S08000024,S92000003,d,Melanoma,NA,38,NA,34,NA
2018Q3,S08000024,S92000003,d,Ovarian,NA,10,NA,9,NA
2018Q3,S08000024,S92000003,d,Upper GI,NA,79,NA,79,NA
2018Q3,S08000024,S92000003,d,Urological,NA,183,NA,155,NA
2018Q3,S08000025,S92000003,d,Colorectal,NA,2,NA,2,NA
2018Q3,S08000025,S92000003,d,Lung,NA,1,NA,1,NA
2018Q3,S08000025,S92000003,d,Lymphoma,NA,1,NA,1,NA
2018Q3,S08000025,S92000003,d,Ovarian,NA,1,NA,1,NA
2018Q3,S08000025,S92000003,d,Upper GI,NA,2,NA,2,NA
2018Q3,S08000025,S92000003,d,Urological,NA,4,NA,3,NA
2018Q3,S08000026,S92000003,d,Breast,NA,1,NA,1,NA
2018Q3,S08000026,S92000003,d,Cervical,NA,2,NA,2,NA
2018Q3,S08000026,S92000003,d,Colorectal,NA,2,NA,2,NA
2018Q3,S08000026,S92000003,d,Lymphoma,NA,1,NA,1,NA
2018Q3,S08000026,S92000003,d,Melanoma,NA,2,NA,2,NA
2018Q3,S08000026,S92000003,d,Ovarian,NA,1,NA,1,NA
2018Q3,S08000026,S92000003,d,Upper GI,NA,3,NA,3,NA
2018Q3,S08000026,S92000003,d,Urological,NA,7,NA,4,NA
2018Q3,S08000028,S92000003,d,Breast,NA,2,NA,2,NA
2018Q3,S08000028,S92000003,d,Colorectal,NA,7,NA,5,NA
2018Q3,S08000028,S92000003,d,Lung,NA,8,NA,8,NA
2018Q3,S08000028,S92000003,d,Melanoma,NA,2,NA,1,NA
2018Q3,S08000028,S92000003,d,Ovarian,NA,2,NA,2,NA
2018Q3,S08000028,S92000003,d,Upper GI,NA,3,NA,3,NA
2018Q3,S08000028,S92000003,d,Urological,NA,3,NA,3,NA
2018Q3,S08000029,S92000003,d,Breast,NA,49,NA,46,NA
2018Q3,S08000029,S92000003,d,Cervical,NA,8,NA,8,NA
2018Q3,S08000029,S92000003,d,Colorectal,NA,63,NA,63,NA
2018Q3,S08000029,S92000003,d,Head & Neck,NA,33,NA,32,NA
2018Q3,S08000029,S92000003,d,Lung,NA,89,NA,86,NA
2018Q3,S08000029,S92000003,d,Lymphoma,NA,20,NA,20,NA
2018Q3,S08000029,S92000003,d,Melanoma,NA,29,NA,29,NA
2018Q3,S08000029,S92000003,d,Ovarian,NA,7,NA,6,NA
2018Q3,S08000029,S92000003,d,Upper GI,NA,39,NA,39,NA
2018Q3,S08000029,S92000003,d,Urological,NA,97,NA,85,NA
2018Q3,S08000030,S92000003,d,Breast,NA,112,NA,101,NA
2018Q3,S08000030,S92000003,d,Cervical,NA,11,NA,11,NA
2018Q3,S08000030,S92000003,d,Colorectal,NA,67,NA,64,NA
2018Q3,S08000030,S92000003,d,Head & Neck,NA,22,NA,20,NA
2018Q3,S08000030,S92000003,d,Lung,NA,73,NA,68,NA
2018Q3,S08000030,S92000003,d,Lymphoma,NA,13,NA,13,NA
2018Q3,S08000030,S92000003,d,Melanoma,NA,35,NA,33,NA
2018Q3,S08000030,S92000003,d,Ovarian,NA,9,NA,9,NA
2018Q3,S08000030,S92000003,d,Upper GI,NA,48,NA,48,NA
2018Q3,S08000030,S92000003,d,Urological,NA,102,NA,96,NA
2018Q3,S08000031,S92000003,d,Breast,NA,378,NA,344,NA
2018Q3,S08000031,S92000003,d,Cervical,NA,9,NA,9,NA
2018Q3,S08000031,S92000003,d,Colorectal,NA,198,NA,191,NA
2018Q3,S08000031,S92000003,d,Head & Neck,NA,78,NA,78,NA
2018Q3,S08000031,S92000003,d,Lung,NA,319,NA,306,NA
2018Q3,S08000031,S92000003,d,Lymphoma,NA,77,NA,77,NA
2018Q3,S08000031,S92000003,d,Melanoma,NA,84,NA,83,NA
2018Q3,S08000031,S92000003,d,Ovarian,NA,25,NA,25,NA
2018Q3,S08000031,S92000003,d,Upper GI,NA,146,NA,144,NA
2018Q3,S08000031,S92000003,d,Urological,NA,392,NA,375,NA
2018Q3,S08000032,S92000003,d,Breast,NA,103,NA,101,NA
2018Q3,S08000032,S92000003,d,Cervical,NA,7,NA,7,NA
2018Q3,S08000032,S92000003,d,Colorectal,NA,80,NA,80,NA
2018Q3,S08000032,S92000003,d,Head & Neck,NA,38,NA,37,NA
2018Q3,S08000032,S92000003,d,Lung,NA,108,NA,107,NA
2018Q3,S08000032,S92000003,d,Lymphoma,NA,19,NA,19,NA
2018Q3,S08000032,S92000003,d,Melanoma,NA,45,NA,45,NA
2018Q3,S08000032,S92000003,d,Ovarian,NA,9,NA,9,NA
2018Q3,S08000032,S92000003,d,Upper GI,NA,48,NA,48,NA
2018Q3,S08000032,S92000003,d,Urological,NA,124,NA,120,NA
2018Q4,S08000015,S92000003,d,Breast,NA,109,NA,109,NA
2018Q4,S08000015,S92000003,d,Cervical,NA,8,NA,8,NA
2018Q4,S08000015,S92000003,d,Colorectal,NA,81,NA,80,NA
2018Q4,S08000015,S92000003,d,Head & Neck,NA,23,NA,23,NA
2018Q4,S08000015,S92000003,d,Lung,NA,68,NA,68,NA
2018Q4,S08000015,S92000003,d,Lymphoma,NA,3,NA,3,NA
2018Q4,S08000015,S92000003,d,Melanoma,NA,19,NA,19,NA
2018Q4,S08000015,S92000003,d,Ovarian,NA,13,NA,13,NA
2018Q4,S08000015,S92000003,d,Upper GI,NA,44,NA,44,NA
2018Q4,S08000015,S92000003,d,Urological,NA,61,NA,60,NA
2018Q4,S08000016,S92000003,d,Breast,NA,22,NA,22,NA
2018Q4,S08000016,S92000003,d,Colorectal,NA,17,NA,16,NA
2018Q4,S08000016,S92000003,d,Head & Neck,NA,2,NA,2,NA
2018Q4,S08000016,S92000003,d,Lung,NA,20,NA,18,NA
2018Q4,S08000016,S92000003,d,Lymphoma,NA,7,NA,7,NA
2018Q4,S08000016,S92000003,d,Melanoma,NA,6,NA,6,NA
2018Q4,S08000016,S92000003,d,Ovarian,NA,2,NA,2,NA
2018Q4,S08000016,S92000003,d,Upper GI,NA,16,NA,16,NA
2018Q4,S08000016,S92000003,d,Urological,NA,30,NA,30,NA
2018Q4,S08000017,S92000003,d,Breast,NA,38,NA,38,NA
2018Q4,S08000017,S92000003,d,Colorectal,NA,28,NA,27,NA
2018Q4,S08000017,S92000003,d,Head & Neck,NA,9,NA,9,NA
2018Q4,S08000017,S92000003,d,Lung,NA,37,NA,37,NA
2018Q4,S08000017,S92000003,d,Lymphoma,NA,11,NA,11,NA
2018Q4,S08000017,S92000003,d,Melanoma,NA,13,NA,13,NA
2018Q4,S08000017,S92000003,d,Ovarian,NA,4,NA,4,NA
2018Q4,S08000017,S92000003,d,Upper GI,NA,23,NA,23,NA
2018Q4,S08000017,S92000003,d,Urological,NA,65,NA,61,NA
2018Q4,S08000019,S92000003,d,Breast,NA,47,NA,36,NA
2018Q4,S08000019,S92000003,d,Cervical,NA,4,NA,4,NA
2018Q4,S08000019,S92000003,d,Colorectal,NA,44,NA,44,NA
2018Q4,S08000019,S92000003,d,Head & Neck,NA,15,NA,14,NA
2018Q4,S08000019,S92000003,d,Lung,NA,54,NA,52,NA
2018Q4,S08000019,S92000003,d,Lymphoma,NA,19,NA,19,NA
2018Q4,S08000019,S92000003,d,Melanoma,NA,19,NA,18,NA
2018Q4,S08000019,S92000003,d,Ovarian,NA,5,NA,5,NA
2018Q4,S08000019,S92000003,d,Upper GI,NA,34,NA,34,NA
2018Q4,S08000019,S92000003,d,Urological,NA,98,NA,91,NA
2018Q4,S08000020,S92000003,d,Breast,NA,113,NA,108,NA
2018Q4,S08000020,S92000003,d,Cervical,NA,9,NA,9,NA
2018Q4,S08000020,S92000003,d,Colorectal,NA,105,NA,99,NA
2018Q4,S08000020,S92000003,d,Head & Neck,NA,32,NA,31,NA
2018Q4,S08000020,S92000003,d,Lung,NA,112,NA,109,NA
2018Q4,S08000020,S92000003,d,Lymphoma,NA,33,NA,31,NA
2018Q4,S08000020,S92000003,d,Melanoma,NA,40,NA,38,NA
2018Q4,S08000020,S92000003,d,Ovarian,NA,13,NA,13,NA
2018Q4,S08000020,S92000003,d,Upper GI,NA,67,NA,67,NA
2018Q4,S08000020,S92000003,d,Urological,NA,190,NA,145,NA
2018Q4,S08000022,S92000003,d,Breast,NA,76,NA,76,NA
2018Q4,S08000022,S92000003,d,Cervical,NA,4,NA,4,NA
2018Q4,S08000022,S92000003,d,Colorectal,NA,48,NA,47,NA
2018Q4,S08000022,S92000003,d,Head & Neck,NA,10,NA,10,NA
2018Q4,S08000022,S92000003,d,Lung,NA,53,NA,53,NA
2018Q4,S08000022,S92000003,d,Lymphoma,NA,22,NA,22,NA
2018Q4,S08000022,S92000003,d,Melanoma,NA,21,NA,20,NA
2018Q4,S08000022,S92000003,d,Ovarian,NA,4,NA,4,NA
2018Q4,S08000022,S92000003,d,Upper GI,NA,37,NA,36,NA
2018Q4,S08000022,S92000003,d,Urological,NA,67,NA,51,NA
2018Q4,S08000024,S92000003,d,Breast,NA,242,NA,241,NA
2018Q4,S08000024,S92000003,d,Cervical,NA,16,NA,16,NA
2018Q4,S08000024,S92000003,d,Colorectal,NA,107,NA,91,NA
2018Q4,S08000024,S92000003,d,Head & Neck,NA,50,NA,50,NA
2018Q4,S08000024,S92000003,d,Lung,NA,178,NA,175,NA
2018Q4,S08000024,S92000003,d,Lymphoma,NA,44,NA,44,NA
2018Q4,S08000024,S92000003,d,Melanoma,NA,27,NA,27,NA
2018Q4,S08000024,S92000003,d,Ovarian,NA,17,NA,15,NA
2018Q4,S08000024,S92000003,d,Upper GI,NA,79,NA,79,NA
2018Q4,S08000024,S92000003,d,Urological,NA,189,NA,175,NA
2018Q4,S08000025,S92000003,d,Breast,NA,2,NA,2,NA
2018Q4,S08000025,S92000003,d,Colorectal,NA,6,NA,4,NA
2018Q4,S08000025,S92000003,d,Head & Neck,NA,1,NA,1,NA
2018Q4,S08000025,S92000003,d,Lung,NA,2,NA,2,NA
2018Q4,S08000025,S92000003,d,Lymphoma,NA,1,NA,1,NA
2018Q4,S08000025,S92000003,d,Upper GI,NA,3,NA,3,NA
2018Q4,S08000025,S92000003,d,Urological,NA,3,NA,2,NA
2018Q4,S08000026,S92000003,d,Breast,NA,3,NA,3,NA
2018Q4,S08000026,S92000003,d,Cervical,NA,1,NA,1,NA
2018Q4,S08000026,S92000003,d,Colorectal,NA,5,NA,5,NA
2018Q4,S08000026,S92000003,d,Head & Neck,NA,2,NA,2,NA
2018Q4,S08000026,S92000003,d,Lung,NA,1,NA,1,NA
2018Q4,S08000026,S92000003,d,Melanoma,NA,1,NA,1,NA
2018Q4,S08000026,S92000003,d,Ovarian,NA,1,NA,1,NA
2018Q4,S08000026,S92000003,d,Upper GI,NA,4,NA,4,NA
2018Q4,S08000026,S92000003,d,Urological,NA,10,NA,8,NA
2018Q4,S08000028,S92000003,d,Breast,NA,1,NA,1,NA
2018Q4,S08000028,S92000003,d,Colorectal,NA,3,NA,2,NA
2018Q4,S08000028,S92000003,d,Head & Neck,NA,2,NA,2,NA
2018Q4,S08000028,S92000003,d,Lung,NA,4,NA,4,NA
2018Q4,S08000028,S92000003,d,Lymphoma,NA,2,NA,2,NA
2018Q4,S08000028,S92000003,d,Melanoma,NA,1,NA,1,NA
2018Q4,S08000028,S92000003,d,Upper GI,NA,4,NA,4,NA
2018Q4,S08000028,S92000003,d,Urological,NA,7,NA,5,NA
2018Q4,S08000029,S92000003,d,Breast,NA,53,NA,47,NA
2018Q4,S08000029,S92000003,d,Cervical,NA,2,NA,2,NA
2018Q4,S08000029,S92000003,d,Colorectal,NA,76,NA,76,NA
2018Q4,S08000029,S92000003,d,Head & Neck,NA,12,NA,12,NA
2018Q4,S08000029,S92000003,d,Lung,NA,88,NA,83,NA
2018Q4,S08000029,S92000003,d,Lymphoma,NA,19,NA,19,NA
2018Q4,S08000029,S92000003,d,Melanoma,NA,16,NA,16,NA
2018Q4,S08000029,S92000003,d,Ovarian,NA,6,NA,5,NA
2018Q4,S08000029,S92000003,d,Upper GI,NA,47,NA,47,NA
2018Q4,S08000029,S92000003,d,Urological,NA,95,NA,87,NA
2018Q4,S08000030,S92000003,d,Breast,NA,110,NA,101,NA
2018Q4,S08000030,S92000003,d,Cervical,NA,11,NA,9,NA
2018Q4,S08000030,S92000003,d,Colorectal,NA,78,NA,75,NA
2018Q4,S08000030,S92000003,d,Head & Neck,NA,16,NA,13,NA
2018Q4,S08000030,S92000003,d,Lung,NA,99,NA,89,NA
2018Q4,S08000030,S92000003,d,Lymphoma,NA,18,NA,18,NA
2018Q4,S08000030,S92000003,d,Melanoma,NA,41,NA,37,NA
2018Q4,S08000030,S92000003,d,Ovarian,NA,7,NA,7,NA
2018Q4,S08000030,S92000003,d,Upper GI,NA,48,NA,48,NA
2018Q4,S08000030,S92000003,d,Urological,NA,103,NA,84,NA
2018Q4,S08000031,S92000003,d,Breast,NA,392,NA,353,NA
2018Q4,S08000031,S92000003,d,Cervical,NA,15,NA,15,NA
2018Q4,S08000031,S92000003,d,Colorectal,NA,205,NA,202,NA
2018Q4,S08000031,S92000003,d,Head & Neck,NA,83,NA,83,NA
2018Q4,S08000031,S92000003,d,Lung,NA,287,NA,274,NA
2018Q4,S08000031,S92000003,d,Lymphoma,NA,76,NA,76,NA
2018Q4,S08000031,S92000003,d,Melanoma,NA,71,NA,70,NA
2018Q4,S08000031,S92000003,d,Ovarian,NA,31,NA,31,NA
2018Q4,S08000031,S92000003,d,Upper GI,NA,136,NA,133,NA
2018Q4,S08000031,S92000003,d,Urological,NA,405,NA,372,NA
2018Q4,S08000032,S92000003,d,Breast,NA,80,NA,79,NA
2018Q4,S08000032,S92000003,d,Cervical,NA,12,NA,12,NA
2018Q4,S08000032,S92000003,d,Colorectal,NA,68,NA,67,NA
2018Q4,S08000032,S92000003,d,Head & Neck,NA,39,NA,39,NA
2018Q4,S08000032,S92000003,d,Lung,NA,147,NA,142,NA
2018Q4,S08000032,S92000003,d,Lymphoma,NA,33,NA,33,NA
2018Q4,S08000032,S92000003,d,Melanoma,NA,38,NA,38,NA
2018Q4,S08000032,S92000003,d,Ovarian,NA,13,NA,13,NA
2018Q4,S08000032,S92000003,d,Upper GI,NA,63,NA,63,NA
2018Q4,S08000032,S92000003,d,Urological,NA,120,NA,118,NA
2019Q1,S08000015,S92000003,d,Breast,NA,96,NA,93,NA
2019Q1,S08000015,S92000003,d,Cervical,NA,7,NA,7,NA
2019Q1,S08000015,S92000003,d,Colorectal,NA,47,NA,46,NA
2019Q1,S08000015,S92000003,d,Head & Neck,NA,19,NA,18,NA
2019Q1,S08000015,S92000003,d,Lung,NA,55,NA,55,NA
2019Q1,S08000015,S92000003,d,Lymphoma,NA,5,NA,5,NA
2019Q1,S08000015,S92000003,d,Melanoma,NA,20,NA,20,NA
2019Q1,S08000015,S92000003,d,Ovarian,NA,10,NA,10,NA
2019Q1,S08000015,S92000003,d,Upper GI,NA,37,NA,37,NA
2019Q1,S08000015,S92000003,d,Urological,NA,95,NA,93,NA
2019Q1,S08000016,S92000003,d,Breast,NA,16,NA,16,NA
2019Q1,S08000016,S92000003,d,Cervical,NA,1,NA,1,NA
2019Q1,S08000016,S92000003,d,Colorectal,NA,26,NA,26,NA
2019Q1,S08000016,S92000003,d,Head & Neck,NA,7,NA,7,NA
2019Q1,S08000016,S92000003,d,Lung,NA,26,NA,26,NA
2019Q1,S08000016,S92000003,d,Lymphoma,NA,8,NA,8,NA
2019Q1,S08000016,S92000003,d,Melanoma,NA,8,NA,8,NA
2019Q1,S08000016,S92000003,d,Ovarian,NA,3,NA,3,NA
2019Q1,S08000016,S92000003,d,Upper GI,NA,10,NA,10,NA
2019Q1,S08000016,S92000003,d,Urological,NA,23,NA,23,NA
2019Q1,S08000017,S92000003,d,Breast,NA,22,NA,22,NA
2019Q1,S08000017,S92000003,d,Cervical,NA,1,NA,1,NA
2019Q1,S08000017,S92000003,d,Colorectal,NA,23,NA,21,NA
2019Q1,S08000017,S92000003,d,Head & Neck,NA,9,NA,9,NA
2019Q1,S08000017,S92000003,d,Lung,NA,45,NA,45,NA
2019Q1,S08000017,S92000003,d,Lymphoma,NA,6,NA,6,NA
2019Q1,S08000017,S92000003,d,Melanoma,NA,10,NA,10,NA
2019Q1,S08000017,S92000003,d,Ovarian,NA,4,NA,4,NA
2019Q1,S08000017,S92000003,d,Upper GI,NA,21,NA,21,NA
2019Q1,S08000017,S92000003,d,Urological,NA,45,NA,40,NA
2019Q1,S08000019,S92000003,d,Breast,NA,34,NA,32,NA
2019Q1,S08000019,S92000003,d,Cervical,NA,4,NA,4,NA
